test: short_latency_0
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1452
timing: 1452
timing: 1452
timing: 1488
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1416
timing: 1434
timing: 1452
timing: 1560
timing: 1452
timing: 1452
timing: 1434
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1560
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1452
timing: 1434
timing: 1434
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1542
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1452
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1452
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1560
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1452
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1452
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1434
timing: 1560
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1416
timing: 1434
timing: 1452
timing: 1560
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1416
timing: 1560
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1416
timing: 1434
timing: 1578
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1434
timing: 1560
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1416
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1560
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1434
timing: 1560
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1452
timing: 1506
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1452
timing: 1434
timing: 1434
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1434
timing: 1452
timing: 1434
timing: 1524
timing: 1434
timing: 1434
timing: 1452
timing: 1542
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1434
timing: 1434
timing: 1434
timing: 1560
timing: 1434
timing: 1434
timing: 1452
timing: 1524
timing: 1452
timing: 1434
timing: 1452
timing: 1506
timing: 1452
timing: 1434
timing: 1434
test: medium_latency_0
timing: 1488
timing: 1578
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1506
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1596
timing: 1488
timing: 1488
timing: 1650
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1506
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1596
timing: 1488
timing: 1488
timing: 1488
timing: 1524
timing: 1488
timing: 1488
timing: 1578
timing: 1488
timing: 1488
timing: 1488
timing: 1524
timing: 1488
timing: 1488
timing: 1578
timing: 1488
timing: 1488
timing: 1488
timing: 1506
timing: 1488
timing: 1488
timing: 1596
timing: 1506
timing: 1488
timing: 1650
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1506
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1506
timing: 1542
timing: 1488
timing: 1488
timing: 1596
timing: 1488
timing: 1488
timing: 1488
timing: 1560
timing: 1488
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1650
timing: 1488
timing: 1506
timing: 1488
timing: 1560
timing: 1506
timing: 1506
timing: 1560
timing: 1488
timing: 1488
timing: 1650
timing: 1488
timing: 1488
timing: 1506
timing: 1542
timing: 1488
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1506
timing: 1596
timing: 1488
timing: 1488
timing: 1506
timing: 1542
timing: 1488
timing: 1488
timing: 1542
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1488
timing: 1614
timing: 1488
timing: 1488
timing: 1488
